movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age,older
The Hudsucker Proxy,1994,Joel Coen,4,1,Tim Robbins,Jennifer Jason Leigh,man,woman,1958-10-18,1962-02-05,36,32,man older
The Italian Job,2003,F. Gary Gray,4,1,Mark Wahlberg,Charlize Theron,man,woman,1971-06-05,1975-08-07,32,28,man older
The Princess Bride,1987,Rob Reiner,4,1,Cary Elwes,Robin Wright,man,woman,1962-10-26,1966-04-08,25,21,man older
The Rock,1996,Michael Bay,4,1,Nicolas Cage,Vanessa Marcil,man,woman,1964-01-07,1968-10-15,32,28,man older
The Scarlet Letter,1995,Roland Joffé,4,1,Gary Oldman,Demi Moore,man,woman,1958-03-21,1962-11-11,37,33,man older
The Spanish Prisoner,1997,David Mamet,4,1,Campbell Scott,Rebecca Pidgeon,man,woman,1961-07-19,1965-10-10,36,32,man older
Twilight,2008,Catherine Hardwicke,4,1,Robert Pattinson,Kristen Stewart,man,woman,1986-05-13,1990-04-09,22,18,man older
Two Weeks Notice,2002,Marc Lawrence,4,1,Hugh Grant,Sandra Bullock,man,woman,1960-09-09,1964-07-26,42,38,man older
Walk the Line,2005,James Mangold,4,1,Joaquin Phoenix,Ginnifer Goodwin,man,woman,1974-10-28,1978-05-22,31,27,man older
Wayne's World,1993,Penelope Spheeris,4,1,Mike Myers,Tia Carrere,man,woman,1963-04-25,1967-01-02,30,26,man older
We Are Your Friends,2015,Max Joseph,4,1,Zac Efron,Emily Ratajkowski,man,woman,1987-10-18,1991-06-07,28,24,man older
Whatever Works,2009,Woody Allen,4,3,Henry Cavill,Evan Rachel Wood,man,woman,1983-05-05,1987-09-07,26,22,man older
A Woman Under the Influence,1974,John Cassavetes,3,1,Peter Falk,Gena Rowlands,man,woman,1927-09-16,1930-06-19,47,44,man older
Amelia,2009,Mira Nair,3,2,Ewan McGregor,Hilary Swank,man,woman,1971-03-31,1974-07-30,38,35,man older
American Beauty,1999,Sam Mendes,3,3,Peter Gallagher,Annette Bening,man,woman,1955-08-19,1958-05-29,44,41,man older
Becoming Jane,2007,Julian Jarrold,3,1,James McAvoy,Anne Hathaway,man,woman,1979-04-21,1982-11-12,28,25,man older
Bridget Jones's Baby,2016,Sharon Maguire,3,2,Patrick Dempsey,Renee Zellweger,man,woman,1966-01-13,1969-04-25,50,47,man older
Cinderella,2015,Kenneth Branagh,3,1,Richard Madden,Lily James,man,woman,1986-06-18,1989-04-05,29,26,man older
Closer,2004,Mike Nichols,3,4,Clive Owen,Julia Roberts,man,woman,1964-10-03,1967-10-28,40,37,man older
Coyote Ugly,2000,David McNally,3,1,Adam Garcia,Piper Perabo,man,woman,1973-06-01,1976-10-31,27,24,man older
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,3,2,Chang Chen,Zhang Ziyi,man,woman,1976-10-14,1979-02-09,24,21,man older
Deadpool,2016,Tim Miller,3,1,Ryan Reynolds,Morena Baccarin,man,woman,1976-10-23,1979-06-02,40,37,man older
Don Jon,2013,Joseph Gordon-Levitt,3,2,Joseph Gordon-Levitt,Scarlett Johansson,man,woman,1981-02-17,1984-11-22,32,29,man older
Enemy of the State,1998,Tony Scott,3,2,Will Smith,Regina King,man,woman,1968-09-25,1971-01-15,30,27,man older
Fight Club,1999,David Fincher,3,2,Brad Pitt,Helena Bonham Carter,man,woman,1963-12-18,1966-05-26,36,33,man older
Forgetting Sarah Marshall,2008,Nicholas Stoller,3,2,Jason Segel,Mila Kunis,man,woman,1980-01-18,1983-08-14,28,25,man older
Hacksaw Ridge,2016,Mel Gibson,3,1,Andrew Garfield,Teresa Palmer,man,woman,1983-08-20,1986-02-26,33,30,man older
His Girl Friday,1940,Howard Hawks,3,1,Cary Grant,Rosalind Russell,man,woman,1904-01-18,1907-06-04,36,33,man older
I Know What You Did Last Summer,1997,Jim Gillespie,3,2,Ryan Phillippe,Sarah Michelle Gellar,man,woman,1974-09-10,1977-04-14,23,20,man older
I Know What You Did Last Summer,1997,Jim Gillespie,3,1,Freddie Prinze Jr.,Jennifer Love Hewitt,man,woman,1976-03-08,1979-02-21,21,18,man older
Idle Hands,1999,Rodman Flender,3,1,Devon Sawa,Jessica Alba,man,woman,1978-09-07,1981-04-28,21,18,man older
Independence Day: Resurgence,2016,Roland Emmerich,3,1,Liam Hemsworth,Maika Monroe,man,woman,1990-01-13,1993-05-29,26,23,man older
Inferno,2016,Ron Howard,3,2,Ben Foster,Felicity Jones,man,woman,1980-10-29,1983-10-17,36,33,man older
Inventing the Abbotts,1997,Pat O'Connor,3,1,Joaquin Phoenix,Liv Tyler,man,woman,1974-10-28,1977-07-01,23,20,man older
Invincible,2006,Ericson Core,3,1,Mark Wahlberg,Elizabeth Banks,man,woman,1971-06-05,1974-02-10,35,32,man older
Juno,2007,Jason Reitman,3,2,Jason Bateman,Jennifer Garner,man,woman,1969-01-14,1972-04-17,38,35,man older
Just Go with It,2011,Dennis Dugan,3,2,Adam Sandler,Jennifer Aniston,man,woman,1966-09-09,1969-02-11,45,42,man older
Knocked Up,2007,Judd Apatow,3,2,Paul Rudd,Leslie Mann,man,woman,1969-04-06,1972-03-26,38,35,man older
Les Miserables,2012,Tom Hooper,3,2,Eddie Redmayne,Amanda Seyfried,man,woman,1982-01-26,1985-12-03,30,27,man older
Liar Liar,1997,Tom Shadyac,3,1,Jim Carrey,Maura Tierney,man,woman,1962-01-17,1965-02-03,35,32,man older
Made of Honor,2008,Paul Weiland,3,2,Kevin McKidd,Michelle Monaghan,man,woman,1973-08-09,1976-03-23,35,32,man older
Mickey Blue Eyes,1999,Kelly Makin,3,1,Hugh Grant,Jeanne Tripplehorn,man,woman,1960-09-09,1963-06-10,39,36,man older
Mirror Mirror,2012,Tarsem Singh,3,1,Armie Hammer,Lily Collins,man,woman,1986-08-28,1989-03-18,26,23,man older
Mona Lisa Smile,2003,Mike Newell,3,3,Topher Grace,Julia Stiles,man,woman,1978-07-19,1981-03-28,25,22,man older
Pete's Dragon,2016,David Lowery,3,1,Wes Bentley,Bryce Dallas Howard,man,woman,1978-09-04,1981-03-02,38,35,man older
Professor Marston and the Wonder Women,2017,Angela Robinson,3,3,Luke Evans,Rebecca Hall,man,woman,1979-04-15,1982-05-03,38,35,man older
Pushing Tin,1999,Mike Newell,3,4,John Cusack,Cate Blanchett,man,woman,1966-06-28,1969-05-14,33,30,man older
Robin Hood: Prince of Thieves,1991,Kevin Reynolds,3,1,Kevin Costner,Mary Elizabeth Mastrantonio,man,woman,1955-01-18,1958-11-17,36,33,man older
She's All That,1999,Robert Iscove,3,1,Freddie Prinze Jr.,Rachael Leigh Cook,man,woman,1976-03-08,1979-10-04,23,20,man older
"Six Days, Seven Nights",1998,Ivan Reitman,3,2,David Schwimmer,Anne Heche,man,woman,1966-11-02,1969-05-25,32,29,man older
Soul Food,1997,George Tillman Jr.,3,3,Michael Beach,Gina Ravera,man,woman,1963-10-30,1966-05-20,34,31,man older
Tag,2018,Jeff Tomsic,3,2,Jeremy Renner,Leslie Bibb,man,woman,1971-01-07,1974-11-17,47,44,man older
The Beach,2000,Danny Boyle,3,2,Guillaume Canet,Virginie Ledoyen,man,woman,1973-04-10,1976-11-15,27,24,man older
The Best of me,2014,Michael Hoffman,3,1,James Marsden,Michelle Monaghan,man,woman,1973-09-18,1976-03-23,41,38,man older
The Dark Knight,2008,Christopher Nolan,3,1,Christian Bale,Maggie Gyllenhaal,man,woman,1974-01-30,1977-11-16,34,31,man older
The Departed,2006,Martin Scorsese,3,2,Matt Damon,Vera Farmiga,man,woman,1970-10-08,1973-08-06,36,33,man older
The Five-Year Engagement,2012,Nicholas Stoller,3,1,Jason Segel,Emily Blunt,man,woman,1980-01-18,1983-02-23,32,29,man older
The Graduate,1967,Mike Nichols,3,2,Dustin Hoffman,Katharine Ross,man,woman,1937-08-08,1940-01-29,30,27,man older
The Matrix,1999,"Lana Wachowski, Lilly Wachowski",3,1,Keanu Reeves,Carrie-Anne Moss,man,woman,1964-09-02,1967-08-21,35,32,man older
The Only Living Boy in New York,2017,Marc Webb,3,3,Callum Turner,Kiersey Clemons,man,woman,1990-02-15,1993-12-17,27,24,man older
The Spy Who Dumped Me,2018,Susanna Fogel,3,2,Sam Heughan,Mila Kunis,man,woman,1980-04-30,1983-08-14,38,35,man older
The Story of Us,1999,Rob Reiner,3,1,Bruce Willis,Michelle Pfeiffer,man,woman,1955-03-19,1958-04-29,44,41,man older
The Vow,2012,Michael Sucsy,3,1,Scott Speedman,Rachel McAdams,man,woman,1975-09-01,1978-11-17,37,34,man older
Trainwreck,2015,Judd Apatow,3,2,Bill Hader,Amy Schumer,man,woman,1978-06-07,1981-06-01,37,34,man older
Twilight,2008,Catherine Hardwicke,3,2,Jackson Rathbone,Ashley Greene,man,woman,1984-12-14,1987-04-21,24,21,man older
Twilight,2008,Catherine Hardwicke,3,3,Kellan Lutz,Nikki Reed,man,woman,1985-03-15,1988-05-17,23,20,man older
Wedding Crashers,2005,David Dobkin,3,3,Bradley Cooper,Rachel McAdams,man,woman,1975-01-05,1978-11-17,30,27,man older
White Men Can't Jump,1992,Ron Shelton,3,1,Woody Harrelson,Rosie Perez,man,woman,1961-07-23,1964-09-06,31,28,man older
X2: X-Men United,2003,Bryan Singer,3,1,Shawn Ashmore,Anna Paquin,man,woman,1979-10-07,1982-07-24,24,21,man older
10 Things I Hate About You,1999,Gil Junger,2,1,Heath Ledger,Julia Stiles,man,woman,1979-04-24,1981-03-28,20,18,man older
Ace Ventura: Pet Detective,1994,Tom Shadyac,2,1,Jim Carrey,Courteney Cox,man,woman,1962-01-17,1964-06-15,32,30,man older
Aladdin,2019,Guy Ritchie,2,1,Mena Massoud,Naomi Scott,man,woman,1991-09-17,1993-05-06,28,26,man older
And So It Goes,2014,Rob Reiner,2,1,Michael Douglas,Diane Keaton,man,woman,1944-09-25,1946-01-05,70,68,man older
Annihilation,2018,Alex Garland,2,1,Oscar Isaac,Natalie Portman,man,woman,1979-03-09,1981-06-09,39,37,man older
Austin Powers: International Man of Mystery,1997,Jay Roach,2,1,Mike Myers,Elizabeth Hurley,man,woman,1963-04-25,1965-06-10,34,32,man older
Big Daddy,1999,Dennis Dugan,2,2,Adam Sandler,Joey Lauren Adams,man,woman,1966-09-09,1968-01-09,33,31,man older
Bridesmaids,2011,Paul Feig,2,2,Jon Hamm,Kristen Wiig,man,woman,1971-03-10,1973-08-22,40,38,man older
Brokeback Mountain,2005,Ang Lee,2,1,Jake Gyllenhaal,Anne Hathaway,man,woman,1980-12-19,1982-11-12,25,23,man older
Casanova,2005,Lasse Hallström,2,1,Heath Ledger,Sienna Miller,man,woman,1979-04-24,1981-12-28,26,24,man older
"Crazy, Stupid, Love",2011,"Glenn Ficarra, John Requa",2,3,Kevin Bacon,Julianne Moore,man,woman,1958-07-08,1960-12-03,53,51,man older
Dan in Real Life,2007,Peter Hedges,2,2,Steve Carell,Juliette Binoche,man,woman,1962-08-16,1964-03-09,45,43,man older
Dave,1993,Ivan Reitman,2,1,Kevin Kline,Sigourney Weaver,man,woman,1947-10-24,1949-10-08,46,44,man older
Doctor Strange,2016,Scott Derrickson,2,1,Benedict Cumberbatch,Rachel McAdams,man,woman,1976-07-19,1978-11-17,40,38,man older
EDtv,1999,Ron Howard,2,2,Matthew McConaughey,Jenna Elfman,man,woman,1969-11-04,1971-09-30,30,28,man older
Easy A,2010,Will Gluck,2,1,Penn Badgley,Emma Stone,man,woman,1986-11-01,1988-11-06,24,22,man older
Ed Wood,1994,Tim Burton,2,2,Johnny Depp,Sarah Jessica Parker,man,woman,1963-06-09,1965-03-25,31,29,man older
Fifty Shades of Grey,2015,Sam Taylor-Johnson,2,2,Luke Grimes,Eloise Mumford,man,woman,1984-01-21,1986-09-24,31,29,man older
Friends with Benefits,2011,Will Gluck,2,1,Justin Timberlake,Mila Kunis,man,woman,1981-01-31,1983-08-14,30,28,man older
I Don't Know How She Does It,2011,Douglas McGrath,2,1,Greg Kinnear,Sarah Jessica Parker,man,woman,1963-06-17,1965-03-25,48,46,man older
Inventing the Abbotts,1997,Pat O'Connor,2,2,Billy Crudup,Jennifer Connelly,man,woman,1968-07-08,1970-12-12,29,27,man older
Jeux d'enfants,2003,Yann Samuell,2,1,Guillaume Canet,Marion Cotillard,man,woman,1973-04-10,1975-09-30,30,28,man older
Jurassic World,2015,Colin Trevorrow,2,1,Chris Pratt,Bryce Dallas Howard,man,woman,1979-06-21,1981-03-02,36,34,man older
Last Holiday,2006,Wayne Wang,2,1,LL Cool J,Queen Latifah,man,woman,1968-01-14,1970-03-18,38,36,man older
Le notti di Cabiria,1957,Federico Fellini,2,1,François Périer,Giulietta Masina,man,woman,1919-11-10,1921-02-22,38,36,man older
Little Nicky,2000,Steven Brill,2,1,Adam Sandler,Patricia Arquette,man,woman,1966-09-09,1968-04-08,34,32,man older
Love & Other Drugs,2010,Edward Zwick,2,1,Jake Gyllenhaal,Anne Hathaway,man,woman,1980-12-19,1982-11-12,30,28,man older
Office Space,1999,Mike Judge,2,1,Ron Livingston,Jennifer Aniston,man,woman,1967-06-05,1969-02-11,32,30,man older
Robin Hood,2018,Otto Bathurst,2,1,Taron Egerton,Eve Hewson,man,woman,1989-11-10,1991-07-07,29,27,man older
Rumor Has It...,2005,Rob Reiner,2,3,Mark Ruffalo,Jennifer Aniston,man,woman,1967-11-22,1969-02-11,38,36,man older
Safe Men,1998,John Hamburg,2,1,Sam Rockwell,Christina Kirk,man,woman,1968-11-05,1970-11-10,30,28,man older
Sex and the City,2008,Michael Patrick King,2,4,David Eigenberg,Cynthia Nixon,man,woman,1964-05-17,1966-04-09,44,42,man older
Shakespeare in Love,1998,John Madden,2,1,Joseph Fiennes,Gwyneth Paltrow,man,woman,1970-05-27,1972-09-27,28,26,man older
Sister Act,1992,Emile Ardolino,2,2,Bill Nunn,Whoopi Goldberg,man,woman,1953-10-20,1955-11-13,39,37,man older
Something New,2006,Sanaa Hamri,2,1,Simon Baker,Sanaa Lathan,man,woman,1969-07-30,1971-09-19,37,35,man older
Tag,2018,Jeff Tomsic,2,4,Ed Helms,Isla Fisher,man,woman,1974-01-24,1976-02-03,44,42,man older
The Beach,2000,Danny Boyle,2,3,Leonardo DiCaprio,Virginie Ledoyen,man,woman,1974-11-11,1976-11-15,26,24,man older
The Family Stone,2007,Thomas Bezucha,2,4,Craig T. Nelson,Diane Keaton,man,woman,1944-04-04,1946-01-05,63,61,man older
The Family Stone,2007,Thomas Bezucha,2,5,Dermot Mulroney,Sarah Jessica Parker,man,woman,1963-10-31,1965-03-25,44,42,man older
The Good Shepherd,2006,Robert De Niro,2,3,Matt Damon,Tammy Blanchard,man,woman,1970-10-08,1972-12-14,36,34,man older
The Last Time I Committed Suicide,1997,Stephen T. Kay,2,1,Thomas Jane,Claire Forlani,man,woman,1969-02-22,1971-12-17,28,26,man older
The Mummy,1999,Stephen Sommers,2,2,Brendan Fraser,Rachel Weisz,man,woman,1968-12-03,1970-03-07,31,29,man older
The Other Woman,2014,Nick Cassavetes,2,3,Nikolaj Coster-Waldau,Leslie Mann,man,woman,1970-07-27,1972-03-26,44,42,man older
The Other Woman,2014,Nick Cassavetes,2,4,Nikolaj Coster-Waldau,Cameron Diaz,man,woman,1970-07-27,1972-08-30,44,42,man older
The Private Lives of Pippa Lee,2009,Rebecca Miller,2,2,Keanu Reeves,Robin Wright,man,woman,1964-09-02,1966-04-08,45,43,man older
The Young Victoria,2009,Jean-Marc Vallée,2,1,Rupert Friend,Emily Blunt,man,woman,1981-10-01,1983-02-23,28,26,man older
Tristan + Isolde,2006,Kevin Reynolds,2,1,James Franco,Sophia Myles,man,woman,1978-04-19,1980-03-18,28,26,man older
Twilight,2008,Catherine Hardwicke,2,4,Peter Facinelli,Elizabeth Reaser,man,woman,1973-11-26,1975-06-15,35,33,man older
Unforgettable,2017,Denise Di Novi,2,1,Geoff Stults,Rosario Dawson,man,woman,1977-12-15,1979-05-09,40,38,man older
Walk the Line,2005,James Mangold,2,2,Joaquin Phoenix,Reese Witherspoon,man,woman,1974-10-28,1976-03-21,31,29,man older
We Were Soldiers,2002,Randall Wallace,2,1,Mel Gibson,Madeleine Stowe,man,woman,1956-01-03,1958-08-18,46,44,man older
Why Him?,2016,John Hamburg,2,2,Bryan Cranston,Megan Mullally,man,woman,1956-03-07,1958-11-12,60,58,man older
9 1/2 Weeks,1986,Adrian Lyne,1,1,Mickey Rourke,Kim Basinger,man,woman,1952-09-16,1953-12-08,34,33,man older
Angel Eyes,2001,Luis Mandoki,1,1,Jim Caviezel,Jennifer Lopez,man,woman,1968-09-26,1969-07-24,33,32,man older
Breakfast at Tiffany's,1961,Blake Edwards,1,1,George Peppard,Audrey Hepburn,man,woman,1928-10-01,1929-05-04,33,32,man older
Breathe,2017,Andy Serkis,1,1,Andrew Garfield,Claire Foy,man,woman,1983-08-20,1984-04-16,34,33,man older
Brokeback Mountain,2005,Ang Lee,1,2,Heath Ledger,Jake Gyllenhaal,man,man,1979-04-24,1980-12-19,26,25,man older
Brokeback Mountain,2005,Ang Lee,1,3,Heath Ledger,Michelle Williams,man,woman,1979-04-24,1980-09-09,26,25,man older
Captain America: The First Avenger,2011,Joe Johnston,1,1,Chris Evans,Hayley Atwell,man,woman,1981-06-13,1982-04-05,30,29,man older
Chocolat,2000,Lasse Hallström,1,1,Johnny Depp,Juliette Binoche,man,woman,1963-06-09,1964-03-09,37,36,man older
Cocktail,1988,Homi Adajania,1,1,Tom Cruise,Elisabeth Shue,man,woman,1962-07-03,1963-10-06,26,25,man older
Dodgeball,2004,Rawson Marshall Thurber,1,1,Vince Vaughn,Christine Taylor,man,woman,1970-03-28,1971-07-30,34,33,man older
Dr. No,1962,Terence Young,1,3,Sean Connery,Eunice Gayson,man,woman,1930-08-25,1931-03-17,32,31,man older
Fever Pitch,2005,"Bobby Farrelly, Peter Farrelly",1,1,Jimmy Fallon,Drew Barrymore,man,woman,1974-09-19,1975-02-22,31,30,man older
French Kiss,1995,Lawrence Kasdan,1,2,Timothy Hutton,Meg Ryan,man,woman,1960-08-16,1961-11-19,35,34,man older
Friday,1995,F. Gary Gray,1,1,Ice Cube,Nia Long,man,woman,1969-06-15,1970-10-30,26,25,man older
Hardball,2001,Brian Robbins,1,1,Keanu Reeves,Diane Lane,man,woman,1964-09-02,1965-01-21,37,36,man older
He's Just Not That Into You,2009,Ken Kwapis,1,4,Kevin Connolly,Drew Barrymore,man,woman,1974-03-05,1975-02-22,35,34,man older
Hustle & Flow,2005,Craig Brewer,1,1,Terrence Howard,Taraji P. Henson,man,woman,1969-03-11,1970-09-11,36,35,man older
Inception,2010,Christopher Nolan,1,1,Leonardo DiCaprio,Marion Cotillard,man,woman,1974-11-11,1975-09-30,36,35,man older
Indecent Proposal,1993,Adrian Lyne,1,2,Woody Harrelson,Demi Moore,man,woman,1961-07-23,1962-11-11,32,31,man older
Layer Cake,2004,Matthew Vaughn,1,2,Ben Whishaw,Sienna Miller,man,woman,1980-10-14,1981-12-28,24,23,man older
Leap Year,2010,Anand Tucker,1,2,Adam Scott,Amy Adams,man,woman,1973-04-03,1974-08-20,37,36,man older
Marriage Story,2019,Noah Baumbach,1,1,Adam Driver,Scarlett Johansson,man,woman,1983-11-19,1984-11-22,36,35,man older
Miss Congeniality,2000,Donald Petrie,1,1,Benjamin Bratt,Sandra Bullock,man,woman,1963-12-16,1964-07-26,37,36,man older
Mother's Day,2016,Garry Marshall,1,2,Timothy Olyphant,Jennifer Aniston,man,woman,1968-05-20,1969-02-11,48,47,man older
My Big Fat Greek Wedding,2002,Joel Zwick,1,1,John Corbett,Nia Vardalos,man,woman,1961-05-09,1962-09-24,41,40,man older
Pearl Harbor,2001,Michael Bay,1,2,Ben Affleck,Kate Beckinsale,man,woman,1972-08-15,1973-07-26,29,28,man older
Punch-Drunk Love,2002,Paul Thomas Anderson,1,1,Adam Sandler,Emily Watson,man,woman,1966-09-09,1967-01-14,36,35,man older
Ride Along,2014,Tim Story,1,1,Kevin Hart,Tika Sumpter,man,woman,1979-07-06,1980-06-20,35,34,man older
Rumble Fish,1983,Francis Ford Coppola,1,1,Matt Dillon,Diane Lane,man,woman,1964-02-18,1965-01-21,19,18,man older
Skyscraper,2018,Rawson Marshall Thurber,1,1,Dwayne Johnson,Neve Campbell,man,woman,1972-05-02,1973-10-03,46,45,man older
Slackers,2002,Dewey Nicks,1,1,Devon Sawa,Jaime King,man,woman,1978-09-07,1979-04-23,24,23,man older
Star Trek,2009,J.J. Abrams,1,1,Zachary Quinto,Zoe Saldana,man,woman,1977-06-02,1978-06-19,32,31,man older
Tadpole,2002,Gary Winick,1,3,John Ritter,Sigourney Weaver,man,woman,1948-09-17,1949-10-08,54,53,man older
The Family Stone,2007,Thomas Bezucha,1,6,Brian J. White,Tyrone Giordano,man,man,1975-04-21,1976-04-18,32,31,man older
The Last of the Mohicans,1992,Michael Mann,1,1,Daniel Day-Lewis,Madeleine Stowe,man,woman,1957-04-29,1958-08-18,35,34,man older
The Martian,2015,Ridley Scott,1,1,Sebastian Stan,Kate Mara,man,woman,1982-08-13,1983-02-27,33,32,man older
The Theory of Everything,2014,James Marsh,1,1,Eddie Redmayne,Felicity Jones,man,woman,1982-01-26,1983-10-17,32,31,man older
The Thomas Crown Affair,1999,John McTiernan,1,2,Pierce Brosnan,Rene Russo,man,woman,1953-05-16,1954-02-17,46,45,man older
Titanic,1997,James Cameron,1,1,Leonardo DiCaprio,Kate Winslet,man,woman,1974-11-11,1975-10-05,23,22,man older
Tommy Boy,1995,Peter Segal,1,3,Chris Farley,Julie Warner,man,woman,1964-02-15,1965-02-09,31,30,man older
Transformers: Dark of the Moon,2011,Michael Bay,1,1,Shia LaBeouf,Rosie Huntington-Whiteley,man,woman,1986-06-11,1987-04-18,25,24,man older
Unforgettable,2017,Denise Di Novi,1,2,Geoff Stults,Katherine Heigl,man,woman,1977-12-15,1978-11-24,40,39,man older
Wild Mountain Thyme,2020,John Patrick Shanley,1,1,Jamie Dornan,Emily Blunt,man,woman,1982-05-01,1983-02-23,38,37,man older
X-Men: First Class,2015,Matthew Vaughn,1,2,Nicholas Hoult,Jennifer Lawrence,man,woman,1989-12-07,1990-08-15,26,25,man older
Year One,2009,Harold Ramis,1,2,Michael Cera,Juno Temple,man,woman,1988-06-07,1989-07-20,21,20,man older
