movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age,older
Top Gun,1986,Tony Scott,5,1,Kelly McGillis,Tom Cruise,woman,man,1957-07-09,1962-07-03,29,24,woman older
What's Your Number?,2011,Mark Mylod,5,1,Anna Faris,Chris Evans,woman,man,1976-11-29,1981-06-13,35,30,woman older
Boogie Nights,1997,Paul Thomas Anderson,4,4,Melora Walters,Don Cheadle,woman,man,1960-10-21,1964-11-29,37,33,woman older
Chasing Amy,1997,Kevin Smith,4,1,Joey Lauren Adams,Ben Affleck,woman,man,1968-01-09,1972-08-15,29,25,woman older
Crimson Peak,2015,Guillermo del Toro,4,2,Jessica Chastain,Tom Hiddleston,woman,man,1977-03-24,1981-02-09,38,34,woman older
Dr. No,1962,Terence Young,4,2,Zena Marshall,Sean Connery,woman,man,1926-01-01,1930-08-25,36,32,woman older
Hidden Figures,2016,Theodore Melfi,4,1,Taraji P. Henson,Mahershala Ali,woman,man,1970-09-11,1974-02-16,46,42,woman older
Knocked Up,2007,Judd Apatow,4,1,Katherine Heigl,Seth Rogen,woman,man,1978-11-24,1982-04-15,29,25,woman older
Leap Year,2010,Anand Tucker,4,1,Amy Adams,Matthew Goode,woman,man,1974-08-20,1978-04-03,36,32,woman older
Mamma Mia!,2008,Phyllida Lloyd,4,2,Meryl Streep,Pierce Brosnan,woman,man,1949-06-22,1953-05-16,59,55,woman older
Moulin Rouge!,2001,Baz Luhrmann,4,1,Nicole Kidman,Ewan McGregor,woman,man,1967-06-20,1971-03-31,34,30,woman older
Peter Rabbit,2018,Will Gluck,4,1,Rose Byrne,Domhnall Gleeson,woman,man,1979-07-24,1983-05-12,39,35,woman older
Reservation Road,2007,Terry George,4,1,Jennifer Connelly,Joaquin Phoenix,woman,man,1970-12-12,1974-10-28,37,33,woman older
Soul Food,1997,George Tillman Jr.,4,2,Vivica A. Fox,Jeffrey D. Sams,woman,man,1964-07-30,1968-06-18,33,29,woman older
Soul Food,1997,George Tillman Jr.,4,1,Nia Long,Mekhi Phifer,woman,man,1970-10-30,1974-12-29,27,23,woman older
Source Code,2011,Duncan Jones,4,1,Michelle Monaghan,Jake Gyllenhaal,woman,man,1976-03-23,1980-12-19,35,31,woman older
Spectre,2015,Sam Mendes,4,2,Monica Bellucci,Daniel Craig,woman,man,1964-09-30,1968-03-02,51,47,woman older
The Favourite,2018,Yorgos Lanthimos,4,3,Rachel Weisz,Olivia Colman,woman,woman,1970-03-07,1974-01-30,48,44,woman older
This Means War,2012,McG,4,1,Reese Witherspoon,Chris Pine,woman,man,1976-03-21,1980-08-26,36,32,woman older
X-Men,2000,Bryan Singer,4,2,Famke Janssen,Hugh Jackman,woman,man,1964-11-05,1968-10-12,36,32,woman older
Arbitrage,2012,Nicholas Jarecki,3,2,Susan Sarandon,Richard Gere,woman,man,1946-10-04,1949-08-31,66,63,woman older
Bottle Rocket,1996,Wes Anderson,3,1,Lumi Cavazos,Luke Wilson,woman,man,1968-12-21,1971-09-21,28,25,woman older
City of Angels,1998,Brad Silberling,3,1,Meg Ryan,Nicolas Cage,woman,man,1961-11-19,1964-01-07,37,34,woman older
Fight Club,1999,David Fincher,3,1,Helena Bonham Carter,Edward Norton,woman,man,1966-05-26,1969-08-18,33,30,woman older
Fools Rush In,1997,Andy Tennant,3,1,Salma Hayek,Matthew Perry,woman,man,1966-09-02,1969-08-19,31,28,woman older
Gigli,2003,Martin Brest,3,1,Jennifer Lopez,Ben Affleck,woman,man,1969-07-24,1972-08-15,34,31,woman older
He's Just Not That Into You,2009,Ken Kwapis,3,3,Jennifer Aniston,Ben Affleck,woman,man,1969-02-11,1972-08-15,40,37,woman older
Imagine Me & You,2005,Ol Parker,3,1,Lena Headey,Piper Perabo,woman,woman,1973-10-03,1976-10-31,32,29,woman older
La ragazza con la valigia,1961,Valerio Zurlini,3,1,Claudia Cardinale,Jacques Perrin,woman,man,1938-04-15,1941-07-13,23,20,woman older
Look Who's Talking,1989,Amy Heckerling,3,1,Kirstie Alley,John Travolta,woman,man,1951-01-12,1954-02-18,38,35,woman older
Me Before You,2016,Thea Sharrock,3,1,Emilia Clarke,Matthew Lewis,woman,man,1986-10-23,1989-06-27,30,27,woman older
Neighbors,2014,Nicholas Stoller,3,1,Rose Byrne,Seth Rogen,woman,man,1979-07-24,1982-04-15,35,32,woman older
On the Basis of Sex,2018,Mimi Leder,3,1,Felicity Jones,Armie Hammer,woman,man,1983-10-17,1986-08-28,35,32,woman older
One Fine Day,1996,Michael Hoffman,3,1,Michelle Pfeiffer,George Clooney,woman,man,1958-04-29,1961-05-06,38,35,woman older
Palo Alto,2013,Gia Coppola,3,2,Emma Roberts,Nat Wolff,woman,man,1991-02-10,1994-12-17,22,19,woman older
Ready Player One,2018,Steven Spielberg,3,1,Olivia Cooke,Tye Sheridan,woman,man,1993-12-27,1996-11-11,25,22,woman older
Risky Business,1983,Paul Brickman,3,1,Rebecca De Mornay,Tom Cruise,woman,man,1959-08-29,1962-07-03,24,21,woman older
Savages,2007,undefined,3,2,Blake Lively,Aaron Taylor-Johnson,woman,man,1987-08-25,1990-06-13,20,17,woman older
Selma,2014,Ava DuVernay,3,1,Carmen Ejogo,David Oyelowo,woman,man,1973-01-01,1976-04-01,41,38,woman older
Solo: A Star Wars Story,2018,Ron Howard,3,2,Emilia Clarke,Alden Ehrenreich,woman,man,1986-10-23,1989-11-22,32,29,woman older
The 40-Year Old Virgin,2005,Judd Apatow,3,1,Catherine Keener,Steve Carell,woman,man,1959-03-23,1962-08-16,46,43,woman older
The Age of Adaline,2015,Lee Toland Krieger,3,2,Blake Lively,Anthony Ingruber,woman,man,1987-08-25,1990-02-05,28,25,woman older
The Disaster Artist,2017,James Franco,3,1,Alison Brie,Dave Franco,woman,man,1982-12-29,1985-06-12,35,32,woman older
The Fault in Our Stars,2014,Josh Boone,3,1,Shailene Woodley,Ansel Elgort,woman,man,1991-11-15,1994-03-14,23,20,woman older
The Favourite,2018,Yorgos Lanthimos,3,4,Emma Stone,Joe Alwyn,woman,man,1988-11-06,1991-02-21,30,27,woman older
The Lucky One,2012,Scott Hicks,3,1,Taylor Schilling,Zac Efron,woman,man,1984-07-27,1987-10-18,28,25,woman older
Us,2019,Jordan Peele,3,1,Lupita Nyong'o,Winston Duke,woman,man,1983-03-01,1986-11-15,36,33,woman older
Widows,2018,Steve McQueen,3,3,Michelle Rodriguez,Manuel Garcia-Rulfo,woman,man,1978-07-12,1981-02-25,40,37,woman older
A Most Violent Year,2014,J.C. Chandor,2,1,Jessica Chastain,Oscar Isaac,woman,man,1977-03-24,1979-03-09,37,35,woman older
A Simple Favor,2018,Paul Feig,2,1,Anna Kendrick,Henry Golding,woman,man,1985-08-09,1987-02-05,33,31,woman older
A Walk on the Moon,1999,Tony Goldwyn,2,2,Diane Lane,Liev Schreiber,woman,man,1965-01-21,1967-10-04,34,32,woman older
Anger Management,2003,Peter Segal,2,1,Marisa Tomei,Adam Sandler,woman,man,1964-12-04,1966-09-09,39,37,woman older
Ben-Hur,2016,Timur Bekmambetov,2,1,Nazanin Boniadi,Jack Huston,woman,man,1980-05-22,1982-12-07,36,34,woman older
"Crazy, Stupid, Love",2011,"Glenn Ficarra, John Requa",2,2,Julianne Moore,Steve Carell,woman,man,1960-12-03,1962-08-16,51,49,woman older
Down and Out in Beverly Hills,1986,Paul Mazursky,2,2,Bette Midler,Richard Dreyfuss,woman,man,1945-12-01,1947-10-29,41,39,woman older
Enchanted,2007,Kevin Lima,2,2,Idina Menzel,James Marsden,woman,man,1971-05-30,1973-09-18,36,34,woman older
Enemy at the Gates,2001,Jean-Jacques Annaud,2,1,Rachel Weisz,Jude Law,woman,man,1970-03-07,1972-12-29,31,29,woman older
Fantastic Beasts and Where to Find Them,2016,David Yates,2,2,Katherine Waterston,Eddie Redmayne,woman,man,1980-03-03,1982-01-26,36,34,woman older
Four Weddings and a Funeral,1994,Mike Newell,2,1,Andie MacDowell,Hugh Grant,woman,man,1958-04-21,1960-09-09,36,34,woman older
Gangs of New York,2002,Martin Scorsese,2,1,Cameron Diaz,Leonardo DiCaprio,woman,man,1972-08-30,1974-11-11,30,28,woman older
Imagine Me & You,2005,Ol Parker,2,2,Piper Perabo,Matthew Goode,woman,man,1976-10-31,1978-04-03,29,27,woman older
Last Night,2010,Massy Tadjedin,2,3,Eva Mendes,Sam Worthington,woman,man,1974-03-05,1976-08-02,36,34,woman older
Legally Blonde,2001,Robert Luketic,2,3,Reese Witherspoon,Matthew Davis,woman,man,1976-03-21,1978-05-08,25,23,woman older
Love & Basketball,2000,Gina Prince-Bythewood,2,1,Sanaa Lathan,Omar Epps,woman,man,1971-09-19,1973-07-20,29,27,woman older
Love Story,1970,Arthur Hiller,2,1,Ali MacGraw,Ryan O'Neal,woman,man,1939-04-01,1941-04-20,31,29,woman older
Mona Lisa Smile,2003,Mike Newell,2,4,Julia Roberts,Dominic West,woman,man,1967-10-28,1969-10-15,36,34,woman older
Old School,2003,Todd Phillips,2,3,Ellen Pompeo,Luke Wilson,woman,man,1969-11-10,1971-09-21,34,32,woman older
Pitch Perfect,2012,Jason Moore,2,1,Anna Kendrick,Skylar Astin,woman,man,1985-08-09,1987-09-23,27,25,woman older
Spider-Man: Far From Home,2019,Jon Watts,2,1,Marisa Tomei,Jon Favreau,woman,man,1964-12-04,1966-10-19,55,53,woman older
Tag,2018,Jeff Tomsic,2,3,Rashida Jones,Jake Johnson,woman,man,1976-02-25,1978-05-28,42,40,woman older
The Butterfly Effect,2004,"Eric Bress, J. Mackye Gruber",2,1,Amy Smart,Ashton Kutcher,woman,man,1976-03-26,1978-02-07,28,26,woman older
The English Patient,1996,Anthony Minghella,2,1,Kristin Scott Thomas,Ralph Fiennes,woman,man,1960-05-24,1962-12-22,36,34,woman older
The Girl with the Dragon Tattoo,2011,David Fincher,2,2,Robin Wright,Daniel Craig,woman,man,1966-04-08,1968-03-02,45,43,woman older
The Hunger Games: Mockingjay Part 2,2015,Francis Lawrence,2,1,Jennifer Lawrence,Josh Hutcherson,woman,man,1990-08-15,1992-10-12,25,23,woman older
The Kids Are All Right,2010,Lisa Cholodenko,2,2,Annette Bening,Julianne Moore,woman,woman,1958-05-29,1960-12-03,52,50,woman older
The Notebook,2004,Nick Cassavetes,2,2,Rachel McAdams,Ryan Gosling,woman,man,1978-11-17,1980-11-12,26,24,woman older
The Twilight Saga: New Moon,2009,Chris Weitz,2,1,Kristen Stewart,Taylor Lautner,woman,man,1990-04-09,1992-02-11,19,17,woman older
The Vow,2012,Michael Sucsy,2,2,Rachel McAdams,Channing Tatum,woman,man,1978-11-17,1980-04-26,34,32,woman older
The Wood,1999,Rick Famuyiwa,2,2,Sanaa Lathan,Omar Epps,woman,man,1971-09-19,1973-07-20,28,26,woman older
Thor,2011,Kenneth Branagh,2,1,Natalie Portman,Chris Hemsworth,woman,man,1981-06-09,1983-08-11,30,28,woman older
Virginia,2010,Dustin Lance Black,2,2,Emma Roberts,Harrison Gilbertson,woman,man,1991-02-10,1993-06-29,19,17,woman older
500 Days of Summer,2009,Marc Webb,1,1,Zooey Deschanel,Joseph Gordon-Levitt,woman,man,1980-01-17,1981-02-17,29,28,woman older
A Knight's Tale,2001,Brian Helgeland,1,1,Shannyn Sossamon,Heath Ledger,woman,man,1978-10-03,1979-04-24,23,22,woman older
Australia,2008,Baz Luhrmann,1,1,Nicole Kidman,Hugh Jackman,woman,man,1967-06-20,1968-10-12,41,40,woman older
Baywatch,2017,Seth Gordon,1,1,Alexandra Daddario,Zac Efron,woman,man,1986-03-16,1987-10-18,31,30,woman older
Because I Said So,2007,Michael Lehmann,1,3,Diane Keaton,Stephen Collins,woman,man,1946-01-05,1947-10-01,61,60,woman older
Before Sunrise,1995,Richard Linklater,1,1,Julie Delpy,Ethan Hawke,woman,man,1969-12-21,1970-11-06,26,25,woman older
Beverly Hills Ninja,1997,Dennis Dugan,1,1,Nicollette Sheridan,Chris Farley,woman,man,1963-11-21,1964-02-15,34,33,woman older
Get Out,2017,Jordan Peele,1,1,Allison Williams,Daniel Kaluuya,woman,man,1988-04-13,1989-02-24,29,28,woman older
Guardians of the Galaxy,2014,James Gunn,1,1,Zoe Saldana,Chris Pratt,woman,man,1978-06-19,1979-06-21,36,35,woman older
In the Heights,2021,John M. Chu,1,3,Melissa Barrera,Anthony Ramos,woman,man,1990-07-04,1991-11-01,31,30,woman older
Juno,2007,Jason Reitman,1,3,Elliot Page,Michael Cera,woman,man,1987-02-21,1988-06-07,20,19,woman older
Jury Duty,1995,John Fortenberry,1,1,Tia Carrere,Pauly Shore,woman,man,1967-01-02,1968-02-01,28,27,woman older
Lady Bird,2017,Greta Gerwig,1,1,Saoirse Ronan,Timothée Chalamet,woman,man,1994-04-12,1995-12-27,23,22,woman older
Monster Trucks,2017,Chris Wedge,1,1,Jane Levy,Lucas Till,woman,man,1989-12-29,1990-08-10,28,27,woman older
On Her Majesty's Secret Service,1969,Peter R. Hunt,1,3,Diana Rigg,George Lazenby,woman,man,1938-07-20,1939-09-05,31,30,woman older
Pride & Prejudice,2005,Joe Wright,1,2,Rosamund Pike,Simon Woods,woman,man,1979-01-27,1980-01-07,26,25,woman older
Requiem for a Dream,2000,Darren Aronofsky,1,1,Jennifer Connelly,Jared Leto,woman,man,1970-12-12,1971-12-26,30,29,woman older
